0,1,2,3,4,5,6,7,8,9,10
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,H,S,S,S,S,S,H,H,H,H
15,H,S,S,S,S,S,H,H,H,H
14,H,S,S,S,S,S,H,H,H,H
13,H,S,S,S,S,S,H,H,H,H
12,H,H,H,S,S,S,H,H,H,H
11,D,D,D,D,D,D,D,D,D,D
10,H,D,D,D,D,D,D,D,D,H
9,H,H,D,D,D,D,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,H,H
3,H,H,H,H,H,H,H,H,H,H
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,H,S,S,S,S,S,S,S,H,H
17,H,H,D,D,D,D,H,H,H,H
16,H,H,H,D,D,D,H,H,H,H
15,H,H,H,D,D,D,H,H,H,H
14,H,H,H,H,D,D,H,H,H,H
13,H,H,H,H,D,D,H,H,H,H
12,H,H,H,H,D,D,H,H,H,H
10,N,N,N,N,N,N,N,N,N,N
9,N,Sp,Sp,Sp,Sp,Sp,N,Sp,Sp,N
8,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp
7,N,Sp,Sp,Sp,Sp,Sp,N,N,N,N
6,N,N,Sp,Sp,Sp,Sp,N,N,N,N
5,N,N,N,N,N,N,N,N,N,N
4,N,N,N,N,N,N,N,N,N,N
3,N,N,N,Sp,Sp,Sp,Sp,N,N,N
2,N,N,N,Sp,Sp,Sp,Sp,N,N,N
1,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp